energy: 38.675500852067
spin-square: -3.286102489592e-17
 1bdm(1, 1): 0.51792256425857
 1bdm(2, 1): 0
 1bdm(2, 2): 0.51792256425857
 1bdm(3, 1): 0
 1bdm(3, 2): 0
 1bdm(3, 3): 0.51792256425857
 1bdm(4, 1): 0.46966889992251
 1bdm(4, 2): 0
 1bdm(4, 3): 0
 1bdm(4, 4): 0.48207743574143
 1bdm(5, 1): 0
 1bdm(5, 2): 0.46966889992251
 1bdm(5, 3): 0
 1bdm(5, 4): 0
 1bdm(5, 5): 0.48207743574143
 1bdm(6, 1): 0
 1bdm(6, 2): 0
 1bdm(6, 3): 0.46966889992251
 1bdm(6, 4): 0
 1bdm(6, 5): 0
 1bdm(6, 6): 0.48207743574143
